"","id","lon","lat","elevation"
"354",53614,106.22,38.48,11114
"355",53615,106.7,38.8,11016
"356",53705,105.68,37.48,11834
"357",53723,107.38,37.8,13493
"358",53806,105.65,36.57,18542
"359",53810,105.9,36.97,13393
"360",53817,106.27,36,17530
"361",53903,105.72,35.97,19165
"362",51886,90.85,38.25,29448
"363",52602,93.33,38.75,27700
"364",52633,98.42,38.8,33670
"365",52645,99.58,38.42,83200
"366",52657,100.25,38.18,27874
"367",52707,93.68,36.8,27670
"368",52713,95.37,37.85,31732
"369",52737,97.37,37.37,29815
"370",52754,100.13,37.33,83015
"371",52765,101.62,37.38,78500
"372",52818,94.9,36.42,28076
"373",52825,96.42,36.43,27904
"374",52836,98.1,36.3,31911
"375",52856,100.62,36.27,28350
"376",52866,101.75,36.72,22952
"377",52868,101.43,36.03,22371
"378",52876,102.85,36.32,18139
"379",52908,93.08,35.22,46122
"380",52943,99.98,35.58,33232
"381",56004,92.43,34.22,45331
"382",56018,95.3,32.9,40664
"383",56021,95.78,34.13,41750
"384",56029,97.02,33.02,36812
"385",56033,98.22,34.92,42723
"386",56034,97.13,33.8,44154
"387",56046,99.65,33.75,39675
"388",56065,101.6,34.73,85000
"389",56067,101.48,33.43,36285
"390",56125,96.48,32.2,36437
"391",54725,117.53,37.48,117
"392",54751,120.72,37.93,397
"393",54753,120.32,37.62,48
"394",54776,122.68,37.4,477
"395",54808,115.67,36.23,378
"396",54823,117.05,36.6,1703
"397",54826,117.1,36.25,15337
"398",54836,118.15,36.18,3051
"399",54843,119.18,36.75,222
"400",54857,120.33,36.07,760
"401",54863,121.18,36.77,409
"402",54916,116.85,35.57,517
"403",54936,118.83,35.58,1074
"404",54945,119.53,35.43,369
"405",53478,112.45,40,13458
"406",53487,113.33,40.1,10672
"407",53564,111.15,39.38,8615
"408",53588,113.52,38.95,22083
"409",53663,111.82,38.92,14010
"410",53664,111.13,38.47,10126
"411",53673,112.72,38.73,8282
"412",53764,111.1,37.5,9508
"413",53772,112.55,37.78,7783
"414",53787,112.98,37.07,10414
"415",53853,110.95,36.7,10527
"416",53863,111.92,37.03,7439
"417",53868,111.5,36.07,4495
"418",53959,111.05,35.05,3650
"419",53975,112.4,35.48,6595
"420",53646,109.78,38.27,11570
"421",53738,108.17,36.92,13314
"422",53740,109.23,37.93,11110
"423",53754,110.22,37.5,9297
"424",53845,109.5,36.6,9585
"425",53929,107.8,35.2,12065
"426",53942,109.5,35.82,11598
"427",57034,108.22,34.25,4478
"428",57046,110.08,34.48,20649
"429",57106,106.15,33.32,7942
"430",57127,107.03,33.07,5095
"431",57134,107.98,33.52,8272
"432",57143,109.97,33.87,7422
"433",57144,109.15,33.43,6937
"434",57232,108.27,33.05,4849
"435",57245,109.03,32.72,2908
"436",56038,98.1,32.98,92000
"437",56079,102.97,33.58,34396
"438",56144,98.58,31.8,81840
"439",56146,100,31.62,83935
"440",56152,100.33,32.28,88939
"441",56167,101.12,30.98,29572
"442",56172,102.23,31.9,26644
"443",56173,102.55,32.8,34916
"444",56178,102.35,31,23692
"445",56182,103.57,32.65,28507
"446",56188,103.67,31,6985
"447",56196,104.73,31.45,5227
"448",56251,100.32,30.93,80000
"449",56287,103,29.98,6276
"450",56357,100.3,29.05,87277
"451",56374,101.97,30.05,26157
"452",56385,103.33,29.52,80474
"453",56386,103.75,29.57,4242
"454",56459,101.27,27.93,24265
"455",56462,101.5,29,79873
"456",56475,102.52,28.65,16595
"457",56479,102.85,28,21324
"458",56485,103.58,28.27,12558
"459",56492,104.6,28.8,3408
"460",56565,101.52,27.43,25450
"461",56571,102.27,27.9,15909
"462",56671,102.25,26.65,17873
"463",57206,105.85,32.43,5138
"464",57237,108.03,32.07,6740
"465",57306,105.97,31.58,3826
"466",57313,106.77,31.87,4177
"467",57328,107.5,31.2,3449
"468",57405,105.55,30.5,3550
"469",57411,106.1,30.78,3097
"470",57608,105.43,28.17,3775
"471",54527,117.07,39.08,25
"472",54623,117.72,39.05,48
"473",56444,98.92,28.48,33190
"474",56533,98.67,27.75,15833
"475",56543,99.7,27.83,32767
"476",56548,99.28,27.17,23261
"477",56586,103.72,27.35,19495
"478",56651,100.22,26.87,23924
"479",56664,101.27,26.63,12448
"480",56684,103.28,26.42,21105
"481",56739,98.5,25.02,16546
"482",56748,99.18,25.12,16522
"483",56751,100.18,25.7,19905
"484",56763,101.87,25.73,11206
"485",56778,102.65,25,18865
"486",56786,103.83,25.58,18987
"487",56838,97.85,24.02,7766
"488",56856,100.87,24.47,11623
"489",56875,102.55,24.33,17169
"490",56886,103.77,24.53,17043
"491",56951,100.08,23.88,15024
"492",56954,99.93,22.57,10548
"493",56959,100.78,22,5820
"494",56964,100.97,22.78,13021
"495",56966,101.98,23.6,4009
"496",56969,101.57,21.48,6319
"497",56977,101.85,22.58,11205
"498",56985,103.38,23.38,13007
"499",58457,120.17,30.23,417
"500",58464,121.08,30.62,54
"501",58467,121.27,30.2,45
"502",58472,122.45,30.73,796
"503",58477,122.1,30.03,357
"504",58549,119.65,29.12,626
"505",58556,120.82,29.6,1043
"506",58562,121.57,29.87,48
"507",58569,121.95,29.2,1284
"508",58633,118.9,29,824
"509",58646,119.92,28.45,597
"510",58665,121.42,28.62,46
"511",58666,121.9,28.45,862
"512",58667,121.27,28.08,959
"513",57348,109.53,31.02,2998
"514",57426,107.8,30.68,4545
"515",57432,108.4,30.77,1867
"516",57516,106.47,29.58,2591
"517",57633,108.77,28.83,6641
